,Route,riders
1,B100,3517
2,B103,7445
3,BX23,2796
4,Q6,6794
5,Q7,2826
6,Q8,7214
7,Q9,3012
8,Q10,14434
9,Q11,2942
10,Q18,6896
11,Q19,3065
12,Q21,1802
13,Q22,3246
14,Q23,12569
15,Q25,15017
16,Q29,4262
17,Q33,5500
18,Q34,4773
19,Q35,2409
20,Q37,5286
21,Q38,5900
22,Q39,3999
23,Q40,3076
24,Q41,4778
25,Q47,6699
26,Q49,6720
27,Q50,2757
28,Q52,6229
29,Q60,10687
30,Q64,5815
31,Q65,16031
32,Q66,11430
33,Q67,2002
34,Q69,7312
35,Q70,0
36,Q72,5228
37,Q100,2549
38,Q101,2604
39,Q102,2010
40,Q103,1092
41,Q104,1745
42,Q110,4185
43,Q111,7805
44,Q112,3443
45,Q113,2448
46,Q114,4075
47,LocalTotal,252653
49,BM1,921
50,BM2,765
51,BM3,643
52,BM4,469
53,BM5,638
54,BXM1,1225
55,BXM2,599
56,BXM3,689
57,BXM4,418
58,BXM6,594
59,BXM7,2118
60,BXM8,1434
61,BXM9,1634
62,BXM10,1361
63,BXM11,978
64,BXM18,229
65,QM1,152
66,QM2,541
67,QM3,95
68,QM4,256
69,QM5,695
70,QM6,362
71,QM7,433
72,QM8,370
73,QM10,134
74,QM11,358
75,QM12,180
76,QM15,1387
77,QM16,382
78,QM17,381
79,QM18,166
80,QM20,731
81,QM21,169
82,QM24,363
83,QM25,276
84,ExpressTotal,24832
86,Adjustment,1765
87,GrandTotal,279250
1,B1,11628
2,B2,1557
3,B3,7979
4,B4,4588
5,B6,19045
6,B7,3004
7,B8,11549
8,B9,9152
9,B11,7277
10,B12,6222
11,B13,4525
12,B14,2875
13,B15,8630
14,B16,3887
15,B17,5419
16,B20,3573
17,B24,1783
18,B25,4543
19,B26,5358
20,B31,1965
21,B32,705
22,B35,14171
23,B36,7797
24,B37,1649
25,B38,10583
26,B39,154
27,B41,14595
28,B42,1301
29,B43,5439
30,B44,17121
31,B45,2932
32,B46,17091
33,B47,5116
34,B48,2030
35,B49,7377
36,B52,6228
37,B54,4950
38,B57,5118
39,B60,3447
40,B61,5883
41,B62,4744
42,B63,7963
43,B64,3569
44,B65,2106
45,B67,3136
46,B68,8806
47,B69,2797
48,B70,4776
49,B74,1892
50,B82,18080
51,B83,3513
52,B84,316
53,BOTHER,4441
54,BrooklynLocal,324385
56,BX1,6558
57,BX3,5978
58,BX4,4415
59,BX5,3542
60,BX6,8659
61,BX7,8709
62,BX8,3317
63,BX9,10746
64,BX10,6198
65,BX11,5439
66,BX12,18388
67,BX13,4760
68,BX15,3915
69,BX16,3744
70,BX17,3090
71,BX18,969
72,BX19,9524
73,BX20,396
74,BX21,5242
75,BX22,5333
76,BX24,507
77,BX25,1712
78,BX26,1832
79,BX27,2394
80,BX28,3562
81,BX29,789
82,BX30,2706
83,BX31,4018
84,BX32,2453
85,BX33,1057
86,BX34,1904
87,BX35,5432
88,BX36,9253
89,BX39,5625
90,BX40,3855
91,BX41,6939
92,BX46,328
93,BXOTHER,2087
94,BronxLocal,189352
96,M1,7362
97,M2,6609
98,M3,8913
99,M4,11166
100,M5,5186
101,M7,7328
102,M8,943
103,M9,3857
104,M10,3328
105,M11,8446
106,M12,939
107,M14,13626
108,M15,32298
109,M20,1273
110,M21,1011
111,M22,1523
112,M23,8212
113,M31,7571
114,M34,9664
115,M35,119
116,M42,7993
117,M50,1922
118,M55,1445
119,M57,5335
120,M60,7109
121,M66,5910
122,M72,3264
123,M79,8048
124,M86,13016
125,M96,9393
126,M98,1133
127,M100,5777
128,M101,13509
129,M102,8381
130,M103,7166
131,M104,5001
132,M106,1495
133,M116,3835
134,M125,4622
135,MOTHER,2733
136,ManhattanLocal,256461
138,Q1,2787
139,Q2,3827
140,Q3,6511
141,Q4,4278
142,Q5,7741
143,Q12,6405
144,Q13,5617
145,Q15,4451
146,Q16,3077
147,Q17,11219
148,Q20,10257
149,Q24,4684
150,Q26,1007
151,Q27,17180
152,Q28,6647
153,Q30,6434
154,Q31,4062
155,Q32,6879
156,Q36,4644
157,Q42,795
158,Q43,9346
159,Q44,14247
160,Q46,13841
161,Q48,2186
162,Q54,8120
163,Q55,5232
164,Q56,5119
165,Q58,21774
166,Q59,5639
167,Q76,3951
168,Q77,3882
169,Q83,5671
170,Q84,2950
171,Q85,6916
172,Q88,8648
173,QOTHER,1589
174,QueensLocal,237613
176,S40,848
177,S42,284
178,S44,1521
179,S46,1048
180,S48,1449
181,S51,889
182,S52,1393
183,S53,4851
184,S54,463
185,S55,148
186,S56,265
187,S57,691
188,S59,1713
189,S61,1085
190,S62,1030
191,S66,711
192,S74,1284
193,S76,872
194,S78,2954
195,S79,7415
196,S89,300
197,S93,2697
198,SOTHER,996
199,StatenIsLocal,44937
201,SIM1,4604
202,SIM2,858
203,SIM3,1468
204,SIM4,2430
205,SIM5,605
206,SIM6,1233
207,SIM7,546
208,SIM8,1566
209,SIM9,320
210,SIM10,1595
211,SIM11,759
212,SIM15,769
213,SIM22,723
214,SIM23,312
215,SIM24,276
216,SIM25,726
217,SIM26,778
218,SIM30,644
219,SIM31,533
220,SIM32,398
221,SIM33,1506
222,SIM34,898
223,SIM35,431
224,X1,0
225,X2,0
226,X3,0
227,X4,0
228,X5,0
229,X7,0
230,X8,0
231,X9,0
232,X10,0
233,X11,0
234,X12,0
235,X14,0
236,X15,0
237,X17,0
238,X19,0
239,X21,0
240,X22,0
241,X27,1162
242,X28,1161
243,X30,0
244,X31,0
245,X63,460
246,X64,234
247,X68,345
248,XOther,2
249,ExpressTotal,29667
252,BrooklynLocal,324385
253,BronxLocal,189352
254,ManhattanLocal,256461
255,QueensLocal,237613
256,StatenIsLocal,44937
258,LocalTotal,1052748
260,BrooklynExp,4648
261,ManhattanExp,0
262,QueensExp,1039
263,StatenIsExp,23980
265,ExpressTotal,29667
267,BrooklynTotal,329033
268,BronxTotal,189352
269,ManhattanTotal,256461
270,QueensTotal,238652
271,StatenIsTotal,68917
273,GrandTotal,1082415
0,Q53,6229
0,QM31,152
0,QM32,541
0,QM44,256
0,QM35,695
0,QM36,362
0,QM40,134
0,QM42,180
0,QM34,363
0,BX2,6558
0,BX38,3562
0,BX42,3855
0,S90,848
0,S94,1521
0,S96,1048
0,S98,1449
0,S81,889
0,S91,1085
0,S92,1030
0,S84,1284
0,S86,872
0,X42,0
0,X37,1162
0,X38,1161
