objectid,service_na,service,shape_stle
4.0,8 Avenue Express,A,185268.01251053094
4.0,8 Avenue Express,A,185268.01251053094
4.0,8 Avenue Express,A,185268.01251053094
4.0,8 Avenue Express,A,185268.01251053094
4.0,8 Avenue Express,A,185268.01251053094
3.0,14 St-Canarsie Local,L,54130.28254204164
2.0,Franklin Avenue Shuttle,SF,7098.21908922379
1.0,Nassau Street Express,J,70656.68490562918
1.0,Nassau Street Express,J,70656.68490562918
17.0,6 Avenue Local,F,145374.2451793651
25.0,7 Avenue Express,2,134418.98968148453
25.0,7 Avenue Express,2,134418.98968148453
24.0,Broadway Express,N,107239.95093678469
24.0,Broadway Express,N,107239.95093678469
24.0,Broadway Express,N,107239.95093678469
23.0,6 Avenue Express,D,136463.1466545623
23.0,6 Avenue Express,D,136463.1466545623
10.0,42 Street Shuttle,ST,2285.504908819597
9.0,6 Avenue Express,B,127602.11278784153
9.0,6 Avenue Express,B,127602.11278784153
9.0,6 Avenue Express,B,127602.11278784153
9.0,6 Avenue Express,B,127602.11278784153
8.0,Lexington Av Express,4,106032.53413854787
8.0,Lexington Av Express,4,106032.53413854787
7.0,Broadway Express,Q,96999.90734425026
7.0,Broadway Express,Q,96999.90734425026
6.0,Flushing Local,7,57050.04858324696
5.0,Broadway / 7AV Local,1,77623.93076359815
5.0,Broadway / 7AV Local,1,77623.93076359815
16.0,Brooklyn-Queens Crosstown Local,G,55554.243543589524
16.0,Brooklyn-Queens Crosstown Local,G,55554.243543589524
16.0,Brooklyn-Queens Crosstown Local,G,55554.243543589524
16.0,Brooklyn-Queens Crosstown Local,G,55554.243543589524
16.0,Brooklyn-Queens Crosstown Local,G,55554.243543589524
16.0,Brooklyn-Queens Crosstown Local,G,55554.243543589524
15.0,6 Avenue Local,M,96637.14889748528
15.0,6 Avenue Local,M,96637.14889748528
14.0,Nassau Street Express,Z,70651.59442793574
14.0,Nassau Street Express,Z,70651.59442793574
13.0,Lexington Av Express,5 Peak,22001.396947661535
12.0,Lexington Av Express,5,128238.95785363218
12.0,Lexington Av Express,5,128238.95785363218
11.0,Lexington Av Local,6,79571.48821306424
11.0,Lexington Av Local,6,79571.48821306424
20.0,8 Avenue Local,C,98711.05031977226
19.0,Broadway Local,W,51871.98601416921
19.0,Broadway Local,W,51871.98601416921
18.0,Broadway Local,R,114757.83896293229
18.0,Broadway Local,R,114757.83896293229
18.0,Broadway Local,R,114757.83896293229
18.0,Broadway Local,R,114757.83896293229
22.0,Rockaway Park Shuttle,SR,15617.842059676923
21.0,8 Avenue Local,E,82658.30457308324
21.0,8 Avenue Local,E,82658.30457308324
21.0,8 Avenue Local,E,82658.30457308324
21.0,8 Avenue Local,E,82658.30457308324
21.0,8 Avenue Local,E,82658.30457308324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
27.0,Staten Island Railway,SIR,177179.50894550324
26.0,7 Avenue Express,3,96290.94728194823
26.0,7 Avenue Express,3,96290.94728194823
